A0A4S9NQN6,1,447,AF-A0A4S9NQN6-F1,6
A0A4S9E1S8,1,203,AF-A0A4S9E1S8-F1,6
A0A1A7MQX0,1,375,AF-A0A1A7MQX0-F1,6
A0A4S9BKZ2,1,183,AF-A0A4S9BKZ2-F1,6
A0A4S9WTE7,1,206,AF-A0A4S9WTE7-F1,6
A0A1A7MT36,1,213,AF-A0A1A7MT36-F1,6
A0A1A7MSJ1,1,255,AF-A0A1A7MSJ1-F1,6
A0A4S9V848,1,267,AF-A0A4S9V848-F1,6
A0A4S9VC37,1,395,AF-A0A4S9VC37-F1,6
A0A4S8WAD4,1,205,AF-A0A4S8WAD4-F1,6
A0A4S8ZPW6,1,195,AF-A0A4S8ZPW6-F1,6
A0A4T0CKX7,1,400,AF-A0A4T0CKX7-F1,6
A0A4T0BF95,1,254,AF-A0A4T0BF95-F1,6
A0A4S9C0M7,1,351,AF-A0A4S9C0M7-F1,6
A0A4S9W8N5,1,316,AF-A0A4S9W8N5-F1,6
A0A1A7MJ80,1,183,AF-A0A1A7MJ80-F1,6
